SKU,Name,Brand,Grade,Primary Color,All Colors,Design,Swatch Image URL
3287,Sierra Chocolate,Sattler / Outdura,E,Brown,Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sierra_sierra-chocolate_3287.jpg
3721,Sierra Stone,Sattler / Outdura,E,Brown,Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/outdura_sierra_sierra-stone_3721.jpg
51694/20,Acapella Spring,Tempotest®,E,Green,Green | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_acapella-spring_51694-20.jpg
51695/15,Tivoli Regatta,Tempotest®,E,Blue,Blue | Red,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_tivoli-regatta_51695-15.jpg
51695/19,Tivoli Canyon,Tempotest®,E,Brown,Brown | Red,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_tivoli-canyon_51695-19.jpg
51695/20,Tivoli Maritime,Tempotest®,E,Blue,Blue | White,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_tivoli-maritime_51695-20.jpg
51695/22,Tivoli Burnish,Tempotest®,E,Black,Black | Beige,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_tivoli-burnish_51695-22.jpg
5436/22,Casanova Lagoon,Tempotest®,E,Blue,Blue,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_casanova-lagoon_5436-22.jpg
5436/87,Casanova Blues,Tempotest®,E,Blue,Blue,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_casanova-blues_5436-87.jpg
5436/926,Casanova Timber,Tempotest®,E,Beige,Beige | Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_casanova-timber_5436-926.jpg
5436/94,Casanova Gunmetal,Tempotest®,E,Grey,Grey,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_casanova-gunmetal_5436-94.jpg
5438/106,Spumoni Zinnia,Tempotest®,E,Orange,Orange | Brown,Stripes,https://frankford.b-cdn.net/fabric_swatches/tempotest_foundations_spumoni-zinnia_5438-106.jpg
