suggested_bucket,decision,manufacturer,collection,category,sku,name,msrp,sale_price,images,quote_only,show_price_online,id
REVIEW,,Homecrest,Shadow Rock,Tables,2542SBSHNU,"Shadow Rock Square Balcony Table 42"" (Post Base, no Hole)",,,0,True,False,5930
REVIEW,,Homecrest,Shadow Rock,Tables,2542SFSH,"Shadow Rock Square Dining Table 42"" (Post Base, with Hole)",,,0,True,False,5927
REVIEW,,Homecrest,Shadow Rock,Tables,2542SFSHNU,"Shadow Rock Square Dining Table 42"" (Post Base, no Hole)",,,0,True,False,5929
REVIEW,,Homecrest,Shadow Rock,Tables,274282FSH,"Shadow Rock Rectangle Dining Table 42"" x 82"" (Post Base, with Hole)",,,0,True,False,5926
REVIEW,,Homecrest,Shadow Rock,Tables,2742SFSH,"Shadow Rock Square Dining Table 42"" (Trestle Base, with Hole)",,,0,True,False,5924
REVIEW,,Homecrest,Shadow Rock,Tables,2742SFSHNU,"Shadow Rock Square Dining Table 42"" (Trestle Base, no Hole)",,,0,True,False,5925
REVIEW,,Homecrest,Shadow Rock,Tables,3721SSH,"Shadow Rock Square Side Table 24"" (4-Legged Base)",,,0,True,False,5789
REVIEW,,Homecrest,Shadow Rock,Tables,3722RSH,"Shadow Rock Round End Table 24"" (4-Legged Base)",,,1,True,False,5788
REVIEW,,Homecrest,Shadow Rock,Tables,3722SSH,"Shadow Rock Square End Table 24"" (4-Legged Base)",,,0,True,False,5790
REVIEW,,Homecrest,Shadow Rock,Tables,3725RSH,"Shadow Rock Round Side Table 24"" (4-Legged Base)",,,1,True,False,5787
REVIEW,,Homecrest,Shadow Rock,Tables,3742RBSHNU,"Shadow Rock Round Balcony Table 42"" (Universal Base, no Hole)",,,1,True,False,5792
REVIEW,,Homecrest,Shadow Rock,Tables,3742RFSHNU,"Shadow Rock Round Dining Table 42"" (Universal Base, no Hole)",,,1,True,False,5791
REVIEW,,Homecrest,Shadow Rock,Tables,3742SBSH,"Shadow Rock Square Balcony Table 42"" (Universal Base, with Hole)",,,1,True,False,5794
REVIEW,,Homecrest,Shadow Rock,Tables,3742SBSHNU,"Shadow Rock Square Balcony Table 42"" (Universal Base, no Hole)",,,1,True,False,5796
REVIEW,,Homecrest,Shadow Rock,Tables,3742SFSH,"Shadow Rock Square Dining Table 42"" (Universal Base, with Hole)",,,1,True,False,5793
REVIEW,,Homecrest,Shadow Rock,Tables,3742SFSHNU,"Shadow Rock Square Dining Table 42"" (Universal Base, no Hole)",,,1,True,False,5795
REVIEW,,Homecrest,Shadow Rock,Tables,C0030RSH+2330B,"Shadow Rock Round Dining Table 30"" (Pedestal Base, no Hole)",,,1,True,False,5809
REVIEW,,Homecrest,Shadow Rock,Tables,C0030RSH+2334B,"Shadow Rock Round Balcony Table 30"" (Pedestal Base, no Hole)",,,1,True,False,5810
REVIEW,,Homecrest,Shadow Rock,Tables,C0030RSH+2340B,"Shadow Rock Round Bar Table 30"" (Pedestal Base, no Hole)",,,1,True,False,5811
REVIEW,,Homecrest,Shadow Rock,Tables,C0030RSHWH+2330B,"Shadow Rock Round Dining Table 30"" (Pedestal Base, with Hole)",,,1,True,False,5806
REVIEW,,Homecrest,Shadow Rock,Tables,C0030RSHWH+2334B,"Shadow Rock Round Balcony Table 30"" (Pedestal Base, with Hole)",,,1,True,False,5807
REVIEW,,Homecrest,Shadow Rock,Tables,C0030RSHWH+2340B,"Shadow Rock Round Bar Table 30"" (Pedestal Base, with Hole)",,,1,True,False,5808
REVIEW,,Homecrest,Shadow Rock,Tables,C0036RSH+2330B,"Shadow Rock Round Dining Table 36"" (Pedestal Base, with Hole)",,,1,True,False,5821
REVIEW,,Homecrest,Shadow Rock,Tables,C0036RSH+2334B,"Shadow Rock Round Balcony Table 36"" (Pedestal Base, with Hole)",,,1,True,False,5822
REVIEW,,Homecrest,Shadow Rock,Tables,C0036RSH+2340B,"Shadow Rock Round Bar Table 36"" (Pedestal Base, with Hole)",,,1,True,False,5823
REVIEW,,Homecrest,Shadow Rock,Tables,C0036RSHNU+2330B,"Shadow Rock Round Dining Table 36"" (Pedestal Base, no Hole)",,,1,True,False,5824
REVIEW,,Homecrest,Shadow Rock,Tables,C0036RSHNU+2334B,"Shadow Rock Round Balcony Table 36"" (Pedestal Base, no Hole)",,,1,True,False,5825
REVIEW,,Homecrest,Shadow Rock,Tables,C0036RSHNU+2340B,"Shadow Rock Round Bar Table 36"" (Pedestal Base, no Hole)",,,1,True,False,5826
REVIEW,,Homecrest,Shadow Rock,Tables,C0042RSH+3330B,"Shadow Rock Round Dining Table 42"" (Pedestal Base, with Hole)",,,1,True,False,5833
REVIEW,,Homecrest,Shadow Rock,Tables,C0042RSH+3334B,"Shadow Rock Round Balcony Table 42"" (Pedestal Base, with Hole)",,,1,True,False,5834
REVIEW,,Homecrest,Shadow Rock,Tables,C0042RSH+3340B,"Shadow Rock Round Bar Table 42"" (Pedestal Base, with Hole)",,,1,True,False,5835
REVIEW,,Homecrest,Shadow Rock,Tables,C0042RSHNU+2742RB,"Shadow Rock Round Coffee Table 42"" (Trestle Base, no Hole)",,,1,True,False,5804
REVIEW,,Homecrest,Shadow Rock,Tables,C0042RSHNU+3330B,"Shadow Rock Round Dining Table 42"" (Pedestal Base, no Hole)",,,1,True,False,5836
REVIEW,,Homecrest,Shadow Rock,Tables,C0042RSHNU+3334B,"Shadow Rock Round Balcony Table 42"" (Pedestal Base, no Hole)",,,1,True,False,5837
REVIEW,,Homecrest,Shadow Rock,Tables,C0042RSHNU+3340B,"Shadow Rock Round Bar Table 42"" (Pedestal Base, no Hole)",,,1,True,False,5838
REVIEW,,Homecrest,Shadow Rock,Tables,C0048RSH+3330B,"Shadow Rock Round Dining Table 48"" (Pedestal Base, with Hole)",,,1,True,False,5845
REVIEW,,Homecrest,Shadow Rock,Tables,C0048RSH+3334B,"Shadow Rock Round Balcony Table 48"" (Pedestal Base, with Hole)",,,1,True,False,5846
REVIEW,,Homecrest,Shadow Rock,Tables,C0048RSH+3340B,"Shadow Rock Round Bar Table 48"" (Pedestal Base, with Hole)",,,1,True,False,5847
REVIEW,,Homecrest,Shadow Rock,Tables,C0048RSHNU+3330B,"Shadow Rock Round Dining Table 48"" (Pedestal Base, no Hole)",,,1,True,False,5848
REVIEW,,Homecrest,Shadow Rock,Tables,C0048RSHNU+3334B,"Shadow Rock Round Balcony Table 48"" (Pedestal Base, no Hole)",,,1,True,False,5849
REVIEW,,Homecrest,Shadow Rock,Tables,C0048RSHNU+3340B,"Shadow Rock Round Bar Table 48"" (Pedestal Base, no Hole)",,,1,True,False,5850
REVIEW,,Homecrest,Shadow Rock,Tables,C2424SSH+5723B,"Shadow Rock Square End Table 24"" (Post Base, no Hole)",,,1,True,False,5797
REVIEW,,Homecrest,Shadow Rock,Tables,C2644XSH+272644B,"Shadow Rock Rectangle Coffee Table 26"" x 44"" (Trestle Base, no Hole)",,,1,True,False,5801
REVIEW,,Homecrest,Shadow Rock,Tables,C2644XSH+5744B,"Shadow Rock Rectangle Coffee Table 26"" x 44"" (Post Base, no Hole)",,,1,True,False,5798
REVIEW,,Homecrest,Shadow Rock,Tables,C3030SSH+2330B,"Shadow Rock Square Dining Table 30"" (Pedestal Base, no Hole)",,,1,True,False,5815
REVIEW,,Homecrest,Shadow Rock,Tables,C3030SSH+2334B,"Shadow Rock Square Balcony Table 30"" (Pedestal Base, no Hole)",,,1,True,False,5816
REVIEW,,Homecrest,Shadow Rock,Tables,C3030SSH+2340B,"Shadow Rock Square Bar Table 30"" (Pedestal Base, no Hole)",,,1,True,False,5817
REVIEW,,Homecrest,Shadow Rock,Tables,C3030SSH+5723B,"Shadow Rock Square End Table 30"" (Post Base, no Hole)",,,1,True,False,5799
REVIEW,,Homecrest,Shadow Rock,Tables,C3030SSHWH+2330B,"Shadow Rock Square Dining Table 30"" (Pedestal Base, with Hole)",,,1,True,False,5812
REVIEW,,Homecrest,Shadow Rock,Tables,C3030SSHWH+2334B,"Shadow Rock Square Balcony Table 30"" (Pedestal Base, with Hole)",,,1,True,False,5813
REVIEW,,Homecrest,Shadow Rock,Tables,C3030SSHWH+2340B,"Shadow Rock Square Bar Table 30"" (Pedestal Base, with Hole)",,,1,True,False,5814
REVIEW,,Homecrest,Shadow Rock,Tables,C3048XSH+2330B,"Shadow Rock Rectangle Dining Table 30"" x 48"" (Pedestal Base, no Hole)",,,1,True,False,5818
REVIEW,,Homecrest,Shadow Rock,Tables,C3048XSH+2334B,"Shadow Rock Rectangle Balcony Table 30"" x 48"" (Pedestal Base, no Hole)",,,1,True,False,5819
REVIEW,,Homecrest,Shadow Rock,Tables,C3048XSH+2340B,"Shadow Rock Rectangle Bar Table 30"" x 48"" (Pedestal Base, no Hole)",,,1,True,False,5820
REVIEW,,Homecrest,Shadow Rock,Tables,C3048XSH+5744B,"Shadow Rock Rectangle Coffee Table 30"" x 48"" (Post Base, no Hole)",,,1,True,False,5800
REVIEW,,Homecrest,Shadow Rock,Tables,C3252XSH+273252B,"Shadow Rock Rectangle Coffee Table 32"" x 52"" (Trestle Base, no Hole)",,,1,True,False,5802
REVIEW,,Homecrest,Shadow Rock,Tables,C3636SSH+2330B,"Shadow Rock Square Dining Table 36"" (Pedestal Base, with Hole)",,,1,True,False,5827
